1.49109017705 {' ': 13, '^': 23, 'a': 12, 'c': 14, 'b': 20, 'e': 16, 'd': 22, 'g': 24, 'f': 15, 'i': 26, 'h': 27, 'k': 18, 'j': 10, 'm': 8, 'l': 17, 'o': 7, 'n': 28, 'q': 1, 'p': 2, 's': 3, 'r': 25, 'u': 6, 't': 21, 'w': 9, 'v': 4, 'y': 11, 'x': 5, 'z': 19}
1.47436839533 {' ': 13, '^': 11, 'a': 22, 'c': 9, 'b': 2, 'e': 12, 'd': 7, 'g': 3, 'f': 15, 'i': 14, 'h': 24, 'k': 5, 'j': 10, 'm': 4, 'l': 18, 'o': 17, 'n': 23, 'q': 16, 'p': 8, 's': 27, 'r': 21, 'u': 25, 't': 26, 'w': 1, 'v': 6, 'y': 19, 'x': 28, 'z': 20}
1.45720377605 {' ': 13, '^': 28, 'a': 16, 'c': 9, 'b': 18, 'e': 4, 'd': 15, 'g': 5, 'f': 25, 'i': 12, 'h': 17, 'k': 26, 'j': 27, 'm': 6, 'l': 23, 'o': 22, 'n': 21, 'q': 24, 'p': 11, 's': 2, 'r': 7, 'u': 8, 't': 14, 'w': 3, 'v': 19, 'y': 20, 'x': 10, 'z': 1}
1.48918701746 {' ': 13, '^': 5, 'a': 18, 'c': 27, 'b': 15, 'e': 12, 'd': 23, 'g': 24, 'f': 11, 'i': 3, 'h': 1, 'k': 28, 'j': 22, 'm': 20, 'l': 8, 'o': 17, 'n': 9, 'q': 6, 'p': 14, 's': 4, 'r': 26, 'u': 21, 't': 2, 'w': 16, 'v': 19, 'y': 25, 'x': 7, 'z': 10}
1.49218226271 {' ': 14, '^': 12, 'a': 4, 'c': 7, 'b': 26, 'e': 17, 'd': 3, 'g': 18, 'f': 13, 'i': 22, 'h': 28, 'k': 2, 'j': 20, 'm': 21, 'l': 5, 'o': 24, 'n': 16, 'q': 10, 'p': 6, 's': 8, 'r': 23, 'u': 25, 't': 15, 'w': 9, 'v': 27, 'y': 11, 'x': 1, 'z': 19}
1.49681602726 {' ': 17, '^': 19, 'a': 25, 'c': 8, 'b': 18, 'e': 13, 'd': 21, 'g': 26, 'f': 5, 'i': 27, 'h': 4, 'k': 6, 'j': 12, 'm': 2, 'l': 22, 'o': 16, 'n': 23, 'q': 28, 'p': 7, 's': 24, 'r': 15, 'u': 9, 't': 14, 'w': 11, 'v': 3, 'y': 10, 'x': 20, 'z': 1}
1.47355866643 {' ': 13, '^': 25, 'a': 8, 'c': 22, 'b': 11, 'e': 12, 'd': 23, 'g': 26, 'f': 28, 'i': 3, 'h': 7, 'k': 24, 'j': 15, 'm': 16, 'l': 4, 'o': 6, 'n': 18, 'q': 10, 'p': 1, 's': 9, 'r': 17, 'u': 14, 't': 21, 'w': 2, 'v': 27, 'y': 19, 'x': 20, 'z': 5}
1.49286510445 {' ': 17, '^': 1, 'a': 16, 'c': 24, 'b': 8, 'e': 26, 'd': 3, 'g': 27, 'f': 5, 'i': 7, 'h': 23, 'k': 22, 'j': 6, 'm': 11, 'l': 12, 'o': 4, 'n': 18, 'q': 10, 'p': 9, 's': 19, 'r': 15, 'u': 25, 't': 13, 'w': 2, 'v': 14, 'y': 21, 'x': 28, 'z': 20}
1.49553807623 {' ': 13, '^': 2, 'a': 17, 'c': 9, 'b': 19, 'e': 4, 'd': 16, 'g': 11, 'f': 23, 'i': 8, 'h': 5, 'k': 7, 'j': 27, 'm': 28, 'l': 6, 'o': 26, 'n': 12, 'q': 21, 'p': 1, 's': 10, 'r': 25, 'u': 22, 't': 14, 'w': 18, 'v': 15, 'y': 3, 'x': 24, 'z': 20}
1.46542508735 {' ': 13, '^': 25, 'a': 8, 'c': 12, 'b': 4, 'e': 17, 'd': 24, 'g': 19, 'f': 11, 'i': 6, 'h': 27, 'k': 28, 'j': 1, 'm': 3, 'l': 7, 'o': 22, 'n': 14, 'q': 20, 'p': 2, 's': 26, 'r': 21, 'u': 15, 't': 16, 'w': 23, 'v': 18, 'y': 9, 'x': 5, 'z': 10}
1.49923155886 {' ': 13, '^': 25, 'a': 8, 'c': 16, 'b': 11, 'e': 17, 'd': 21, 'g': 10, 'f': 19, 'i': 3, 'h': 15, 'k': 23, 'j': 9, 'm': 18, 'l': 7, 'o': 22, 'n': 14, 'q': 2, 'p': 12, 's': 5, 'r': 27, 'u': 26, 't': 6, 'w': 1, 'v': 24, 'y': 4, 'x': 28, 'z': 20}
